trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.05329949354949,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-61.424314318498446,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,0,-20.16149223481661,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,0,-142.3387805356567,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-73.09517549283291,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.75}",30,16,-32.4586803013317,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.7}",30,0,-26.105930164323144,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,0,-120.61722222105625,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6}",25,0,-171.13359639000984,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.55}",25,0,-115.91988855726353,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-52.28850361781962,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,5.1930714082058245,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,12,3.5632455753267855,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.35}",20,0,-71.55464640240038,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,2,30.3717716285075,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.25}",20,0,-29.670087278008577,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,0,-4.701954847003918,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,7,9.891317956734564,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,9,-1.4120875860696607,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",25,17,13.939921155410415,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,17.231285717457396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,11,25.698202426602997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,16,23.885436202636125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,20,9.04635398285107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,14,21.582386634980566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,10,18.950905155519,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,13,1.5377255981088183,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,5,24.79631098322205,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,13,-18.505349615537003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,14,18.953604101684288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
