trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.761288946499,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.985}",20,7,-16.397924697461036,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-48.910833956427915,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.955}",20,0,-24.612754890184974,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.94}",20,6,-36.699789679350474,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.925}",25,0,-76.57973627777689,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.91}",20,0,-60.012271455119034,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.895}",20,0,-135.2060065948413,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.88}",25,0,-181.96045329891805,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.865}",20,0,-70.9814558522486,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.85}",25,0,-35.89673859009256,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.835}",25,0,-64.25920012003192,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8200000000000001}",20,0,-82.30501038552075,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8049999999999999}",20,0,-29.60177980222591,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.79}",20,0,-122.16250819826324,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.775}",20,0,-92.59615363345209,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.76}",20,12,-12.460401228908474,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.745}",25,0,-25.72371333648819,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.73}",30,0,-43.42085886962219,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7150000000000001}",30,0,-160.1901502050685,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7}",25,0,-83.65826588002969,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.685}",20,0,-97.55700382434212,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.67}",20,0,-36.308283389237474,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.655}",25,0,-47.953086928618966,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.64}",20,0,-1.0923978413160307,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.625}",20,4,-25.245293449670427,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.61}",20,0,-75.18597857760624,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.595}",35,0,-86.61497891579697,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
