trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-87.12758571818875,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.03748893908602,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,6,-77.24330802684867,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.19564233941536,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.18833600348398,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.41888282724732,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.1663703769768,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.4321354328831,"{0: 19, 1: 7, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.7868223130198,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.23750203359461,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,10,-59.63354231040443,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.29604975617517,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.2016415082761,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.6773732088269,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.64841237213503,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.74939702009445,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.3896460121398,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,15,6.923626410145877,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,9,-61.88586410848273,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.76509598564024,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.8627166246181,"{0: 16, 1: 7, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-211.33517514819636,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.15920908385831,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.94270802142378,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.0889252206156,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.41462574614471,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-261.9443725431664,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,6,-153.20116100936738,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.12074862588094,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-228.81129725388993,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
